preferredLabel	CISCO_1	CISCO_2	CISCO_3	CISCO_4
technical director	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
metal drawing machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal processing plant operators
precision device inspector	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
air traffic safety technician	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Air traffic safety electronics technicians
hospitality revenue manager	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Advertising and marketing professionals
medical laboratory assistant	Technicians and associate professionals	Health associate professionals	Medical and pharmaceutical technicians	Medical and pathology laboratory technicians
asphalt laboratory technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Chemical engineering technicians
primary school teaching assistant	Service and sales workers	Personal care workers	Child care workers and teachers’ aides	Teachers’ aides
physiotherapist	Professionals	Health professionals	Other health professionals	Physiotherapists
performing arts theatre instructor	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
hydrogenation machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
pasta operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
tobacco shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
rental service representative in machinery, equipment and tangible goods	Service and sales workers	Sales workers	Other sales workers	Sales workers not elsewhere classified
mine surveyor	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Cartographers and surveyors
food safety specialist	Professionals	Health professionals	Other health professionals	Environmental and occupational health and hygiene professionals
land-based machinery technician	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Agricultural and industrial machinery mechanics and repairers
bus driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Heavy truck and bus drivers	Bus and tram drivers
import export manager in meat and meat products	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
housing policy officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
head chef	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Chefs
nonwoven filament machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
head of higher education institutions	Managers	Production and specialised services managers	Professional services managers	Education managers
insulation supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
dismantling engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
insurance claims handler	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Valuers and loss assessors
clothing development manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Research and development managers
nitroglycerin separator operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
biomedical engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
legal guardian	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Social work associate professionals
weaver	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Handicraft workers in textile, leather and related materials
tile fitter	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Floor layers and tile setters
shoe and leather accessories shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
tour operators manager	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Business services agents not elsewhere classified
bee breeder	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Animal producers	Apiarists and sericulturists
legal administrative assistant	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Legal secretaries
petroleum pump system operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Petroleum and natural gas refining plant operators
protective clothing apparel manufacturer	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Sewing machine operators
coating machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal finishing, plating and coating machine operators
aquaculture hatchery manager	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Aquaculture workers
gear machinist	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
rooms division manager	Managers	Hospitality, retail and other services managers	Hotel and restaurant managers	Hotel managers
ceramic painter	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Sign writers, decorative painters, engravers and etchers
telecommunications engineer	Professionals	Science and engineering professionals	Electrotechnology engineers	Telecommunications engineers
adult literacy teacher	Professionals	Teaching professionals	Other teaching professionals	Special needs teachers
footwear quality manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
sprinkler fitter	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Plumbers and pipe fitters
electronic and telecommunications equipment and parts distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
special educational needs teacher secondary school	Professionals	Teaching professionals	Other teaching professionals	Special needs teachers
performance production manager	Managers	Hospitality, retail and other services managers	Other services managers	Sports, recreation and cultural centre managers
metal production manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
aircraft engine assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Mechanical machinery assemblers
quarry engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mining engineers, metallurgists and related professionals
audiology equipment shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
hardware and paint specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
primary school teacher	Professionals	Teaching professionals	Primary school and early childhood teachers	Primary school teachers
tram driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Heavy truck and bus drivers	Bus and tram drivers
container equipment assembly supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
warehouse operator for clothing	Clerical support workers	Numerical and material recording clerks	Material-recording and transport clerks	Stock clerks
administrative assistant	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Administrative and executive secretaries
coffee grinder	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
medical administrative assistant	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Medical secretaries
ICT security administrator	Professionals	Information and communications technology professionals	Database and network professionals	Database and network professionals not elsewhere classified
bricklaying supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
slate mixer	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Cement, stone and other mineral products machine operators
marine engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
auction house manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Sales and marketing managers
software analyst	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software developers
accounting manager	Managers	Administrative and commercial managers	Business services and administration managers	Finance managers
foundry manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
telecommunications technician	Craft and related trades workers	Electrical and electronic trades workers	Electronics and telecommunications installers and repairers	Information and communications technology installers and servicers
promotions demonstrator	Service and sales workers	Sales workers	Other sales workers	Sales demonstrators
maritime instructor	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
foreign exchange trader	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Securities and finance dealers and brokers
aerospace engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
table saw operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Wood processing plant operators
bridge construction supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
bricklayer	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Bricklayers and related workers
meat cutter	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Butchers, fishmongers and related food preparers
criminologist	Professionals	Legal, social and cultural professionals	Social and religious professionals	Sociologists, anthropologists and related professionals
video operator	Technicians and associate professionals	Information and communications technicians	Telecommunications and broadcasting technicians	Broadcasting and audiovisual technicians
fish and seafood specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
oil and gas production manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Mining managers
metallurgical technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mining and metallurgical technicians
spinning textile technician	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Fibre preparing, spinning and winding machine operators
resilient floor layer	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Floor layers and tile setters
textile quality technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
curing room worker	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Tobacco preparers and tobacco products makers
enameller	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal finishing, plating and coating machine operators
recruitment consultant	Professionals	Business and administration professionals	Administration professionals	Personnel and careers professionals
actuarial consultant	Professionals	Science and engineering professionals	Mathematicians, actuaries and statisticians	Mathematicians, actuaries and statisticians
lighting designer	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
dance répétiteur	Professionals	Legal, social and cultural professionals	Creative and performing artists	Dancers and choreographers
automotive battery technician	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Electrical mechanics and fitters
footwear designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
public employment service manager	Professionals	Business and administration professionals	Administration professionals	Personnel and careers professionals
clothing product grader	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Garment and related pattern-makers and cutters
public administration manager	Managers	Chief executives, senior officials and legislators	Legislators and senior officials	Senior government officials
credit analyst	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Credit and loans officers
plumbing supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
securities analyst	Professionals	Business and administration professionals	Finance professionals	Financial analysts
dancer	Professionals	Legal, social and cultural professionals	Creative and performing artists	Dancers and choreographers
bespoke footwear technician	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Shoemakers and related workers
judge	Professionals	Legal, social and cultural professionals	Legal professionals	Judges
puppet designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
flexographic press operator	Craft and related trades workers	Handicraft and printing workers	Printing trades workers	Printers
integration engineer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
weather forecaster	Professionals	Science and engineering professionals	Physical and earth science professionals	Meteorologists
street artist	Professionals	Legal, social and cultural professionals	Creative and performing artists	Creative and performing artists not elsewhere classified
spa manager	Managers	Hospitality, retail and other services managers	Other services managers	Sports, recreation and cultural centre managers
professional athlete	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Athletes and sports players
specialised veterinarian	Professionals	Health professionals	Veterinarians	Veterinarians
automated fly bar operator	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
commissioning technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
branch manager	Managers	Chief executives, senior officials and legislators	Managing directors and chief executives	Managing directors and chief executives
search engine optimisation expert	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Web and multimedia developers
water network operative	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Plumbers and pipe fitters
green coffee buyer	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Buyers
economics lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
motor vehicles parts advisor	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
hairdresser	Service and sales workers	Personal service workers	Hairdressers, beauticians and related workers	Hairdressers
art restorer	Professionals	Legal, social and cultural professionals	Creative and performing artists	Visual artists
presenter	Professionals	Legal, social and cultural professionals	Creative and performing artists	Announcers on radio, television and other media
golf instructor	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Sports coaches, instructors and officials
domestic energy assessor	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
membership administrator	Clerical support workers	General and keyboard clerks	General office clerks	General office clerks
hand lasting operator	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Shoemakers and related workers
nanny	Service and sales workers	Personal care workers	Child care workers and teachers’ aides	Child care workers
wholesale merchant in perfume and cosmetics	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
riveter	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Structural-metal preparers and erectors
stringed musical instrument maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
textile pattern making machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Textile, fur and leather products machine operators not elsewhere classified
ICT test analyst	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software and applications developers and analysts not elsewhere classified
hydraulic forging press worker	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Blacksmiths, hammersmiths and forging press workers
tissue paper perforating and rewinding operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Paper products machine operators
animal massage therapist	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Physiotherapy technicians and assistants
aircraft engine specialist	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Aircraft engine mechanics and repairers
boxing instructor	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Sports coaches, instructors and officials
animal care attendant	Service and sales workers	Personal service workers	Other personal services workers	Pet groomers and animal care workers
shop assistant	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
fleet commander	Managers	Chief executives, senior officials and legislators	Commissioned armed forces officers	Commissioned armed forces officers
animal therapist	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Physiotherapy technicians and assistants
paramedic in emergency responses	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Ambulance workers
door installer	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Carpenters and joiners
fluid power technician	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Agricultural and industrial machinery mechanics and repairers
corporate trainer	Professionals	Business and administration professionals	Administration professionals	Training and staff development professionals
steam engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mechanical engineers
medicine lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
telephone switchboard operator	Clerical support workers	Customer services clerks	Client information workers	Telephone switchboard operators
doctors' surgery assistant	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Medical assistants
cable jointer	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Electrical line installers and repairers
horse riding instructor	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Fitness and recreation instructors and program leaders
delivery driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Car, van and motorcycle drivers	Car, taxi and van drivers
digital forensics expert	Professionals	Information and communications technology professionals	Database and network professionals	Database and network professionals not elsewhere classified
medical device engineer	Professionals	Science and engineering professionals	Electrotechnology engineers	Electronics engineers
telecommunication equipment shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
import export manager in agricultural machinery and equipment	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
quantity surveyor	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
vessel operations coordinator	Clerical support workers	Numerical and material recording clerks	Material-recording and transport clerks	Transport clerks
historian	Professionals	Legal, social and cultural professionals	Social and religious professionals	Philosophers, historians and political scientists
ICT security consultant	Professionals	Information and communications technology professionals	Database and network professionals	Database and network professionals not elsewhere classified
chemical production manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
child care social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
air traffic manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
ICT teacher secondary school	Professionals	Teaching professionals	Secondary education teachers	Secondary education teachers
lime kiln operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
water-based aquaculture technician	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Aquaculture workers
meteorology technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Chemical and physical science technicians
chemist	Professionals	Science and engineering professionals	Physical and earth science professionals	Chemists
ammunition specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
sound operator	Technicians and associate professionals	Information and communications technicians	Telecommunications and broadcasting technicians	Broadcasting and audiovisual technicians
laundry worker	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Laundry machine operators
biotechnical technician	Technicians and associate professionals	Science and engineering associate professionals	Life science technicians and related associate professionals	Life science technicians (excluding medical)
granulator machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
audio describer	Professionals	Legal, social and cultural professionals	Creative and performing artists	Announcers on radio, television and other media
construction general supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
chief marketing officer	Managers	Administrative and commercial managers	Sales, marketing and development managers	Sales and marketing managers
field survey manager	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Office supervisors
boring machine operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
musical conductor	Professionals	Legal, social and cultural professionals	Creative and performing artists	Musicians, singers and composers
leather goods production supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
renewable energy engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
microelectronics engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Electronics engineering technicians
tower crane operator	Plant and machine operators and assemblers	Drivers and mobile plant operators	Mobile plant operators	Crane, hoist and related plant operators
refurbishing technician	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Motor vehicle mechanics and repairers
investment manager	Professionals	Business and administration professionals	Finance professionals	Financial and investment advisers
call centre agent	Service and sales workers	Sales workers	Other sales workers	Contact centre salespersons
fur animals breeder	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Animal producers	Animal producers not elsewhere classified
secretary of state	Managers	Chief executives, senior officials and legislators	Legislators and senior officials	Legislators
intelligent lighting engineer	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
missionary	Professionals	Legal, social and cultural professionals	Social and religious professionals	Religious professionals
rolling stock engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
real estate manager	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Real estate agents and property managers
civil engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
court clerk	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Legal and related associate professionals
textile designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
pharmaceutical quality specialist	Professionals	Health professionals	Other health professionals	Pharmacists
water conservation technician	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Plumbers and pipe fitters
briquetting machine operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
sectional belt mould assembler	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Rubber products machine operators
candy machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
chef	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Chefs
pharmacologist	Professionals	Science and engineering professionals	Life science professionals	Biologists, botanists, zoologists and related professionals
ICT disaster recovery analyst	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software and applications developers and analysts not elsewhere classified
filigree maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Jewellery and precious-metal workers
teacher of talented and gifted students	Professionals	Teaching professionals	Other teaching professionals	Special needs teachers
embedded system designer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
software tester	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software and applications developers and analysts not elsewhere classified
twisting machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Fibre preparing, spinning and winding machine operators
mine manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Mining managers
optical technician	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Dispensing opticians
university teaching assistant	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
quality services manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
sporting accessories specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
learning support teacher	Professionals	Teaching professionals	Other teaching professionals	Special needs teachers
renewable energy consultant	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Technical and medical sales professionals (excluding ICT)
sports instructor	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Sports coaches, instructors and officials
sociology lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
gambling, betting, and lottery games designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
production engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
environmental education officer	Service and sales workers	Personal service workers	Travel attendants, conductors and guides	Travel guides
kinesiologist	Professionals	Health professionals	Other health professionals	Health professionals not elsewhere classified
cosmetic chemist	Professionals	Science and engineering professionals	Physical and earth science professionals	Chemists
environmental scientist	Professionals	Science and engineering professionals	Life science professionals	Environmental protection professionals
sociologist	Professionals	Legal, social and cultural professionals	Social and religious professionals	Sociologists, anthropologists and related professionals
industrial cook	Service and sales workers	Personal service workers	Cooks	Cooks
clock and watchmaker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Precision-instrument makers and repairers
footwear product developer	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
import export manager in machinery, industrial equipment, ships and aircraft	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
blending plant operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
tyre vulcaniser	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Rubber products machine operators
coquille casting worker	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Metal moulders and coremakers
ICT help desk manager	Technicians and associate professionals	Information and communications technicians	Information and communications technology operations and user support technicians	Information and communications technology user support technicians
bookshop specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
hydroelectric plant operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Power production plant operators
crossing guard	Service and sales workers	Protective services workers	Protective services workers	Protective services workers not elsewhere classified
gunsmith	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Toolmakers and related workers
rail switchperson	Plant and machine operators and assemblers	Drivers and mobile plant operators	Locomotive engine drivers and related workers	Railway brake, signal and switch operators
business economics researcher	Professionals	Legal, social and cultural professionals	Social and religious professionals	Economists
corporate social responsibility manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
water engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
campaign canvasser	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
online community manager	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
home care aide	Service and sales workers	Personal care workers	Personal care workers in health services	Home-based personal care workers
waste management supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
textile industry machinery distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
customer service representative	Clerical support workers	Customer services clerks	Client information workers	Enquiry clerks
music director	Professionals	Legal, social and cultural professionals	Creative and performing artists	Musicians, singers and composers
clothing specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
special educational needs head teacher	Managers	Production and specialised services managers	Professional services managers	Education managers
commercial sales representative	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Commercial sales representatives
semiconductor processor	Plant and machine operators and assemblers	Assemblers	Assemblers	Electrical and electronic equipment assemblers
footwear factory warehouse operator	Clerical support workers	Numerical and material recording clerks	Material-recording and transport clerks	Stock clerks
gambling manager	Managers	Hospitality, retail and other services managers	Other services managers	Sports, recreation and cultural centre managers
product development manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Research and development managers
hand brick moulder	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Potters and related workers
medical records clerk	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Medical records and health information technicians
horse breeder	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Animal producers	Livestock and dairy producers
orthopaedic footwear technician	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Shoemakers and related workers
braiding machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Textile, fur and leather products machine operators not elsewhere classified
construction painter	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Painters and related workers
data warehouse designer	Professionals	Information and communications technology professionals	Database and network professionals	Database designers and administrators
restoration technician	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Motor vehicle mechanics and repairers
linen room attendant	Elementary occupations	Cleaners and helpers	Vehicle, window, laundry and other hand cleaning workers	Hand launderers and pressers
animal artificial insemination technician	Technicians and associate professionals	Health associate professionals	Veterinary technicians and assistants	Veterinary technicians and assistants
